Date;Last;Bid;Ask;IV;Strike;Last (P);Bid (P);Ask (P);IV (P);
2021-08-20;0.00;47.10;51.40;98.10;140.00;0.10;0.05;0.95;0.00;
2021-08-20;0.00;42.80;45.90;92.69;145.00;0.05;0.05;0.75;0.00;
2021-08-20;0.00;37.50;41.00;78.67;150.00;0.23;0.05;1.30;0.00;
2021-08-20;30.70;33.30;35.50;74.60;155.00;0.09;0.05;0.90;0.00;
2021-08-20;20.83;27.60;30.60;53.61;160.00;0.05;0.05;0.35;0.00;
2021-08-20;23.35;23.20;24.60;59.84;165.00;0.30;0.05;0.30;44.76;
2021-08-20;20.40;18.10;19.00;31.77;170.00;0.11;0.05;0.25;35.38;
2021-08-20;13.70;13.60;14.00;24.25;175.00;0.15;0.05;0.25;27.17;
2021-08-20;9.40;8.70;9.30;16.61;180.00;0.25;0.25;0.35;21.18;
2021-08-20;5.20;4.50;4.90;18.00;185.00;0.75;0.85;1.00;19.31;
2021-08-20;2.20;1.50;1.85;17.43;190.00;2.70;2.75;3.00;18.24;
2021-08-20;0.40;0.25;0.40;17.73;195.00;6.90;6.30;6.90;19.06;
2021-08-20;0.10;0.10;0.15;19.62;200.00;11.78;10.20;12.30;21.15;
2021-08-20;0.05;0.05;0.05;0.00;210.00;0.00;19.80;22.00;51.91;
2021-08-20;0.05;0.05;0.05;0.00;220.00;0.00;29.10;32.80;80.39;
2021-08-20;0.07;0.05;0.75;0.00;230.00;0.00;39.20;42.30;87.31;
2021-09-17;35.80;48.20;50.20;51.18;140.00;0.55;0.05;0.80;0.00;
2021-09-17;41.00;43.20;44.60;53.67;145.00;0.80;0.10;0.45;0.00;
2021-09-17;30.00;38.50;39.40;30.61;150.00;0.52;0.10;0.40;38.16;
2021-09-17;27.10;33.30;34.70;30.63;155.00;0.48;0.10;0.60;35.66;
2021-09-17;28.30;28.70;30.50;37.16;160.00;0.42;0.25;0.50;31.30;
2021-09-17;24.20;23.30;24.20;26.64;165.00;0.53;0.35;0.55;27.59;
2021-09-17;16.88;18.70;19.60;21.13;170.00;0.73;0.55;0.70;24.61;
2021-09-17;14.20;14.40;14.80;20.93;175.00;1.13;1.00;1.15;22.93;
2021-09-17;10.97;10.10;10.40;19.31;180.00;1.70;1.75;1.90;21.21;
2021-09-17;6.50;6.40;6.70;18.34;185.00;2.92;3.10;3.30;20.13;
2021-09-17;4.13;3.60;3.90;17.81;190.00;6.00;5.30;5.60;19.66;
2021-09-17;2.33;1.80;2.05;17.63;195.00;9.60;8.40;9.80;21.87;
2021-09-17;0.86;0.75;1.00;17.53;200.00;14.50;12.50;13.00;21.30;
2021-09-17;0.25;0.15;0.30;19.80;210.00;0.00;21.60;22.90;27.52;
2021-09-17;0.20;0.05;0.40;25.93;220.00;0.00;29.80;32.60;38.61;
2021-09-17;0.18;0.05;0.40;0.00;230.00;0.00;40.20;42.40;24.81;
2021-10-15;0.00;48.40;49.80;38.04;140.00;0.00;0.20;0.65;39.66;
2021-10-15;0.00;42.50;45.70;34.25;145.00;0.80;0.25;0.70;36.48;
2021-10-15;0.00;36.60;39.30;33.83;150.00;0.00;0.40;0.80;34.16;
2021-10-15;33.30;33.50;36.10;34.96;155.00;0.00;0.45;0.70;29.87;
2021-10-15;0.00;28.80;30.10;27.58;160.00;1.05;0.65;0.80;27.40;
2021-10-15;26.15;23.50;25.50;23.99;165.00;1.55;0.90;1.05;25.29;
2021-10-15;20.89;19.60;20.00;21.96;170.00;1.75;1.35;1.55;23.86;
2021-10-15;15.68;14.50;15.70;19.17;175.00;2.30;2.05;2.30;22.57;
2021-10-15;11.41;11.40;12.80;22.20;180.00;3.00;3.10;3.40;21.38;
2021-10-15;9.05;7.90;8.40;19.45;185.00;5.70;4.80;5.80;21.92;
2021-10-15;5.50;5.40;5.70;19.36;190.00;7.30;7.10;7.60;20.61;
2021-10-15;3.70;2.35;3.60;17.21;195.00;9.70;10.00;11.50;21.77;
2021-10-15;2.06;2.00;2.20;18.82;200.00;0.00;13.70;14.60;21.28;
2021-10-15;1.11;0.55;0.75;18.74;210.00;0.00;21.90;24.10;24.29;
2021-10-15;0.30;0.20;0.60;22.04;220.00;0.00;29.80;32.50;27.75;
2021-11-19;0.00;0.05;0.80;27.22;230.00;0.00;40.10;43.00;22.30;
2021-11-19;0.00;47.20;51.40;34.94;140.00;0.00;0.35;0.90;34.47;
2021-11-19;0.00;42.10;46.50;31.55;145.00;0.00;0.60;1.20;33.67;
2021-11-19;0.00;38.00;41.40;31.82;150.00;0.00;0.75;1.05;30.16;
2021-11-19;0.00;33.70;36.60;31.16;155.00;0.00;1.00;1.25;28.26;
2021-11-19;0.00;29.40;30.60;26.57;160.00;2.10;1.35;1.55;26.58;
2021-11-19;0.00;24.30;26.80;25.57;165.00;0.00;1.85;2.10;25.34;
2021-11-19;0.00;20.10;21.20;22.05;170.00;3.21;2.55;2.80;24.10;
2021-11-19;0.00;16.20;17.30;21.80;175.00;0.00;3.60;3.80;23.17;
2021-11-19;13.50;13.20;13.70;22.11;180.00;6.91;5.00;5.30;22.55;
2021-11-19;10.48;10.20;10.50;21.71;185.00;0.00;6.80;7.40;22.20;
2021-11-19;7.79;7.50;7.80;21.16;190.00;0.00;9.10;9.40;21.22;
2021-11-19;0.00;5.10;5.60;20.42;195.00;0.00;11.90;12.20;20.73;
2021-11-19;4.10;3.60;4.00;20.46;200.00;15.40;15.20;15.70;20.63;
2021-11-19;1.65;1.45;1.75;20.02;210.00;0.00;23.10;23.90;21.02;
2021-11-19;0.90;0.65;0.90;20.72;220.00;0.00;32.00;33.30;22.35;
2021-11-19;0.65;0.10;0.75;22.09;230.00;0.00;39.60;43.40;30.94;
2021-12-17;0.00;47.50;51.50;33.54;140.00;1.28;0.60;3.30;39.92;
2021-12-17;0.00;43.40;46.50;33.61;145.00;1.25;0.75;3.80;37.95;
2021-12-17;39.58;39.10;40.30;28.66;150.00;1.85;1.10;1.40;28.89;
2021-12-17;16.70;34.20;36.40;28.76;155.00;1.69;1.45;1.70;27.37;
2021-12-17;29.35;29.40;30.80;24.41;160.00;2.20;1.95;2.20;26.23;
2021-12-17;17.40;25.80;26.20;24.69;165.00;4.00;2.65;2.90;25.30;
2021-12-17;21.00;21.60;22.20;23.94;170.00;4.00;3.50;3.80;24.29;
2021-12-17;17.30;17.40;18.70;23.16;175.00;6.30;4.60;5.00;23.39;
2021-12-17;16.00;14.20;14.60;22.11;180.00;8.18;6.20;6.60;22.88;
2021-12-17;12.10;10.90;11.60;21.44;185.00;14.07;8.10;8.50;22.24;
2021-12-17;9.05;8.60;8.90;21.33;190.00;0.00;10.40;11.10;21.96;
2021-12-17;3.60;6.40;6.80;21.08;195.00;22.60;13.20;14.00;21.70;
2021-12-17;5.39;3.80;4.90;19.60;200.00;0.00;16.50;18.20;22.69;
2021-12-17;2.50;2.25;2.55;20.33;210.00;25.40;24.10;26.00;23.08;
2021-12-17;1.30;1.05;1.30;20.46;220.00;33.50;32.90;33.80;22.32;
2021-12-17;0.60;0.45;0.70;20.82;230.00;0.00;42.10;43.20;22.96;
2022-01-21;47.50;48.50;52.00;35.15;140.00;2.22;1.00;3.00;35.57;
2022-01-21;35.47;43.80;47.50;33.88;145.00;2.70;1.30;1.85;30.23;
2022-01-21;32.50;39.80;42.00;31.67;150.00;2.00;1.75;2.05;28.69;
2022-01-21;24.13;34.70;35.80;25.75;155.00;2.45;2.20;2.50;27.38;
2022-01-21;32.80;30.10;31.60;24.97;160.00;3.50;2.85;3.10;26.30;
2022-01-21;19.00;26.40;27.30;24.88;165.00;3.70;3.60;3.90;25.10;
2022-01-21;17.80;22.60;23.20;24.19;170.00;5.00;4.60;5.00;24.43;
2022-01-21;17.30;18.50;19.40;22.91;175.00;6.20;5.90;6.20;23.53;
2022-01-21;13.80;15.10;16.00;22.30;180.00;8.00;7.50;7.80;22.82;
2022-01-21;11.00;11.70;13.00;21.44;185.00;9.80;9.50;9.80;22.29;
2022-01-21;10.00;10.00;10.40;21.96;190.00;11.95;11.90;12.30;21.97;
2022-01-21;7.80;7.80;8.10;21.57;195.00;14.55;14.60;15.10;21.55;
2022-01-21;6.20;5.80;6.20;21.07;200.00;18.90;17.70;18.10;21.03;
2022-01-21;3.40;3.30;3.60;20.95;210.00;69.30;25.00;25.90;21.12;
2022-01-21;1.85;1.55;2.20;20.87;220.00;0.00;33.20;33.90;19.92;
2022-01-21;1.35;0.95;2.45;24.04;230.00;0.00;41.30;44.50;20.75;
2022-03-18;0.00;49.00;51.20;31.65;140.00;2.10;1.85;2.15;30.48;
2022-03-18;0.00;44.60;45.90;29.41;145.00;2.50;2.30;2.60;29.40;
2022-03-18;0.00;40.50;41.00;28.35;150.00;4.90;2.85;3.10;28.29;
2022-03-18;0.00;35.80;36.80;27.13;155.00;5.50;3.40;3.70;27.04;
2022-03-18;0.00;31.70;33.30;27.31;160.00;5.00;4.20;4.50;26.10;
2022-03-18;0.00;27.60;29.10;26.09;165.00;8.90;5.20;5.50;25.27;
2022-03-18;23.10;23.50;25.00;24.66;170.00;7.20;6.50;6.80;24.68;
2022-03-18;0.00;20.30;21.10;23.97;175.00;9.50;7.90;8.20;23.84;
2022-03-18;0.00;17.30;17.90;23.65;180.00;11.60;9.70;10.00;23.30;
2022-03-18;9.10;14.60;14.90;23.27;185.00;0.00;11.80;12.10;22.80;
2022-03-18;0.00;12.00;12.30;22.81;190.00;15.38;14.20;14.50;22.32;
2022-03-18;0.00;9.70;10.10;22.46;195.00;17.30;17.00;17.40;22.10;
2022-03-18;7.97;7.60;8.10;21.94;200.00;0.00;20.00;20.60;21.81;
2022-03-18;5.40;4.60;5.20;21.49;210.00;0.00;27.10;27.50;21.21;
2022-03-18;3.10;2.85;3.20;21.42;220.00;0.00;35.00;35.40;20.46;
2022-03-18;1.80;1.55;1.90;21.09;230.00;0.00;43.70;44.50;20.48;
2023-01-20;43.30;52.00;55.50;30.27;140.00;7.00;4.60;7.40;27.96;
2023-01-20;49.20;48.00;51.50;29.62;145.00;12.00;5.40;9.50;28.16;
2023-01-20;46.27;44.40;45.60;27.60;150.00;16.50;7.90;8.40;26.88;
2023-01-20;39.60;39.90;41.90;26.56;155.00;13.30;9.00;9.70;26.24;
2023-01-20;37.49;36.60;38.30;26.30;160.00;15.10;10.40;11.10;25.72;
2023-01-20;19.65;33.70;34.90;26.21;165.00;15.40;12.10;12.70;25.33;
2023-01-20;32.30;30.60;31.70;25.89;170.00;17.00;13.90;14.40;24.86;
2023-01-20;22.30;27.90;28.70;25.72;175.00;20.80;15.90;16.80;24.74;
2023-01-20;24.80;24.80;25.90;25.23;180.00;21.90;18.00;18.90;24.29;
2023-01-20;21.21;22.20;23.40;25.00;185.00;24.40;20.30;21.40;23.99;
2023-01-20;20.61;20.10;21.30;25.08;190.00;66.10;22.80;24.00;23.66;
2023-01-20;15.40;17.70;18.60;24.46;195.00;0.00;25.50;26.90;23.41;
2023-01-20;16.75;15.80;17.00;24.56;200.00;36.45;28.40;29.70;23.02;
2023-01-20;12.20;11.80;13.10;23.68;210.00;36.80;34.80;36.50;22.68;
2023-01-20;6.72;9.40;10.00;23.49;220.00;43.16;41.80;43.60;22.14;
2023-01-20;3.50;7.00;7.70;23.13;230.00;48.93;49.30;51.10;21.41;
