Date;IV;Strike;;;;;;;;;;;
09/03/2021;0.00;115.000;;;;;;;;;;;
09/03/2021;0.00;115.200;;;;;;;;;;;
09/03/2021;2.59;115.500;;;;;;;;;;;
09/03/2021;0.00;115.700;;;;;;;;;;;
09/03/2021;4.76;116.000;;;;;;;;;;;
09/03/2021;0.00;116.200;;;;;;;;;;;
09/03/2021;5.00;116.500;;;;;;;;;;;
09/03/2021;4.14;116.700;;;;;;;;;;;
09/03/2021;4.96;117.000;;;;;;;;;;;
09/03/2021;4.41;117.200;;;;;;;;;;;
09/03/2021;4.82;117.500;;;;;;;;;;;
09/03/2021;4.57;117.700;;;;;;;;;;;
09/03/2021;4.96;118.000;;;;;;;;;;;
09/03/2021;4.86;118.200;;;;;;;;;;;
09/03/2021;5.19;118.500;;;;;;;;;;;
09/03/2021;5.08;118.700;;;;;;;;;;;
09/03/2021;5.50;119.000;;;;;;;;;;;
09/03/2021;5.46;119.200;;;;;;;;;;;
09/03/2021;5.62;119.500;;;;;;;;;;;
09/03/2021;5.54;119.700;;;;;;;;;;;
10/08/2021;6.09;113.000;;;;;;;;;;;
10/08/2021;6.16;113.500;;;;;;;;;;;
10/08/2021;5.77;114.000;;;;;;;;;;;
10/08/2021;5.70;114.500;;;;;;;;;;;
10/08/2021;5.58;115.000;;;;;;;;;;;
10/08/2021;5.50;115.500;;;;;;;;;;;
10/08/2021;5.46;116.000;;;;;;;;;;;
10/08/2021;5.37;116.500;;;;;;;;;;;
10/08/2021;5.36;117.000;;;;;;;;;;;
10/08/2021;5.34;117.500;;;;;;;;;;;
10/08/2021;5.30;118.000;;;;;;;;;;;
10/08/2021;5.29;118.500;;;;;;;;;;;
10/08/2021;5.33;119.000;;;;;;;;;;;
10/08/2021;5.39;119.500;;;;;;;;;;;
10/08/2021;5.46;120.000;;;;;;;;;;;
10/08/2021;5.48;120.500;;;;;;;;;;;
10/08/2021;5.62;121.000;;;;;;;;;;;
10/08/2021;5.77;121.500;;;;;;;;;;;
10/08/2021;5.77;122.000;;;;;;;;;;;
10/08/2021;5.89;122.500;;;;;;;;;;;
11/05/2021;6.05;113.000;;;;;;;;;;;
11/05/2021;5.93;113.500;;;;;;;;;;;
11/05/2021;5.74;114.000;;;;;;;;;;;
11/05/2021;5.66;114.500;;;;;;;;;;;
11/05/2021;5.60;115.000;;;;;;;;;;;
11/05/2021;5.54;115.500;;;;;;;;;;;
11/05/2021;5.47;116.000;;;;;;;;;;;
11/05/2021;5.42;116.500;;;;;;;;;;;
11/05/2021;5.37;117.000;;;;;;;;;;;
11/05/2021;5.36;117.500;;;;;;;;;;;
11/05/2021;5.36;118.000;;;;;;;;;;;
11/05/2021;5.35;118.500;;;;;;;;;;;
11/05/2021;5.36;119.000;;;;;;;;;;;
11/05/2021;5.37;119.500;;;;;;;;;;;
11/05/2021;5.39;120.000;;;;;;;;;;;
11/05/2021;5.43;120.500;;;;;;;;;;;
11/05/2021;5.49;121.000;;;;;;;;;;;
11/05/2021;5.60;121.500;;;;;;;;;;;
11/05/2021;5.68;122.000;;;;;;;;;;;
11/05/2021;5.77;122.500;;;;;;;;;;;
11/05/2021;5.83;113.000;;;;;;;;;;;
12/03/2021;5.74;113.500;;;;;;;;;;;
12/03/2021;5.71;114.000;;;;;;;;;;;
12/03/2021;5.58;114.500;;;;;;;;;;;
12/03/2021;5.55;115.000;;;;;;;;;;;
12/03/2021;5.47;115.500;;;;;;;;;;;
12/03/2021;5.43;116.000;;;;;;;;;;;
12/03/2021;5.42;116.500;;;;;;;;;;;
12/03/2021;5.37;117.000;;;;;;;;;;;
12/03/2021;5.33;117.500;;;;;;;;;;;
12/03/2021;5.33;118.000;;;;;;;;;;;
12/03/2021;5.33;118.500;;;;;;;;;;;
12/03/2021;5.34;119.000;;;;;;;;;;;
12/03/2021;5.31;119.500;;;;;;;;;;;
12/03/2021;5.35;120.000;;;;;;;;;;;
12/03/2021;5.38;120.500;;;;;;;;;;;
12/03/2021;5.41;121.000;;;;;;;;;;;
12/03/2021;5.52;121.500;;;;;;;;;;;
12/03/2021;5.54;122.000;;;;;;;;;;;
12/03/2021;5.64;122.500;;;;;;;;;;;
12/03/2021;5.81;113.000;;;;;;;;;;;
01/07/2022;5.74;113.500;;;;;;;;;;;
01/07/2022;5.72;114.000;;;;;;;;;;;
01/07/2022;5.61;114.500;;;;;;;;;;;
01/07/2022;5.59;115.000;;;;;;;;;;;
01/07/2022;5.54;115.500;;;;;;;;;;;
01/07/2022;5.49;116.000;;;;;;;;;;;
01/07/2022;5.43;116.500;;;;;;;;;;;
01/07/2022;5.41;117.000;;;;;;;;;;;
01/07/2022;5.37;117.500;;;;;;;;;;;
01/07/2022;5.35;118.000;;;;;;;;;;;
01/07/2022;5.34;118.500;;;;;;;;;;;
01/07/2022;5.35;119.000;;;;;;;;;;;
01/07/2022;5.34;119.500;;;;;;;;;;;
01/07/2022;5.39;120.000;;;;;;;;;;;
01/07/2022;5.40;120.500;;;;;;;;;;;
01/07/2022;5.45;121.000;;;;;;;;;;;
01/07/2022;5.47;121.500;;;;;;;;;;;
01/07/2022;5.52;122.000;;;;;;;;;;;
01/07/2022;5.61;122.500;;;;;;;;;;;
02/04/2022;5.81;113.000;;;;;;;;;;;
02/04/2022;5.75;113.500;;;;;;;;;;;
02/04/2022;5.72;114.000;;;;;;;;;;;
02/04/2022;5.62;114.500;;;;;;;;;;;
02/04/2022;5.60;115.000;;;;;;;;;;;
02/04/2022;5.55;115.500;;;;;;;;;;;
02/04/2022;5.51;116.000;;;;;;;;;;;
02/04/2022;5.46;116.500;;;;;;;;;;;
02/04/2022;5.42;117.000;;;;;;;;;;;
02/04/2022;5.41;117.500;;;;;;;;;;;
02/04/2022;5.38;118.000;;;;;;;;;;;
02/04/2022;5.37;118.500;;;;;;;;;;;
02/04/2022;5.36;119.000;;;;;;;;;;;
02/04/2022;5.37;119.500;;;;;;;;;;;
02/04/2022;5.40;120.000;;;;;;;;;;;
02/04/2022;5.41;120.500;;;;;;;;;;;
02/04/2022;5.45;121.000;;;;;;;;;;;
02/04/2022;5.46;121.500;;;;;;;;;;;
02/04/2022;5.50;122.000;;;;;;;;;;;
02/04/2022;5.58;122.500;;;;;;;;;;;
03/04/2022;5.81;113.000;;;;;;;;;;;
03/04/2022;5.75;113.500;;;;;;;;;;;
03/04/2022;5.68;114.000;;;;;;;;;;;
03/04/2022;5.64;114.500;;;;;;;;;;;
03/04/2022;5.59;115.000;;;;;;;;;;;
03/04/2022;5.55;115.500;;;;;;;;;;;
03/04/2022;5.48;116.000;;;;;;;;;;;
03/04/2022;5.46;116.500;;;;;;;;;;;
03/04/2022;5.41;117.000;;;;;;;;;;;
03/04/2022;5.38;117.500;;;;;;;;;;;
03/04/2022;5.38;118.000;;;;;;;;;;;
03/04/2022;5.38;118.500;;;;;;;;;;;
03/04/2022;5.37;119.000;;;;;;;;;;;
03/04/2022;5.39;119.500;;;;;;;;;;;
03/04/2022;5.41;120.000;;;;;;;;;;;
03/04/2022;5.43;120.500;;;;;;;;;;;
03/04/2022;5.46;121.000;;;;;;;;;;;
03/04/2022;5.47;121.500;;;;;;;;;;;
03/04/2022;5.50;122.000;;;;;;;;;;;
03/04/2022;5.56;122.500;;;;;;;;;;;
04/08/2022;5.78;113.500;;;;;;;;;;;
04/08/2022;5.74;114.000;;;;;;;;;;;
04/08/2022;5.69;114.500;;;;;;;;;;;
04/08/2022;5.63;115.000;;;;;;;;;;;
04/08/2022;5.59;115.500;;;;;;;;;;;
04/08/2022;5.56;116.000;;;;;;;;;;;
04/08/2022;5.51;116.500;;;;;;;;;;;
04/08/2022;5.49;117.000;;;;;;;;;;;
04/08/2022;5.48;117.500;;;;;;;;;;;
04/08/2022;5.47;118.000;;;;;;;;;;;
04/08/2022;5.47;118.500;;;;;;;;;;;
04/08/2022;5.46;119.000;;;;;;;;;;;
04/08/2022;5.49;119.500;;;;;;;;;;;
04/08/2022;5.49;120.000;;;;;;;;;;;
04/08/2022;5.52;120.500;;;;;;;;;;;
04/08/2022;5.54;121.000;;;;;;;;;;;
04/08/2022;5.57;121.500;;;;;;;;;;;
04/08/2022;5.59;122.000;;;;;;;;;;;
04/08/2022;5.63;122.500;;;;;;;;;;;
04/08/2022;5.66;123.000;;;;;;;;;;;
05/06/2022;6.20;113.500;;;;;;;;;;;
05/06/2022;6.14;114.000;;;;;;;;;;;
05/06/2022;6.09;114.500;;;;;;;;;;;
05/06/2022;6.02;115.000;;;;;;;;;;;
05/06/2022;5.97;115.500;;;;;;;;;;;
05/06/2022;5.94;116.000;;;;;;;;;;;
05/06/2022;5.90;116.500;;;;;;;;;;;
05/06/2022;5.87;117.000;;;;;;;;;;;
05/06/2022;5.82;117.500;;;;;;;;;;;
05/06/2022;5.80;118.000;;;;;;;;;;;
05/06/2022;5.79;118.500;;;;;;;;;;;
05/06/2022;5.76;119.000;;;;;;;;;;;
05/06/2022;5.77;119.500;;;;;;;;;;;
05/06/2022;5.76;120.000;;;;;;;;;;;
05/06/2022;5.76;120.500;;;;;;;;;;;
05/06/2022;5.76;121.000;;;;;;;;;;;
05/06/2022;5.79;121.500;;;;;;;;;;;
05/06/2022;5.83;122.000;;;;;;;;;;;
05/06/2022;5.84;122.500;;;;;;;;;;;
05/06/2022;5.90;123.000;;;;;;;;;;;
06/03/2022;6.18;113.500;;;;;;;;;;;
06/03/2022;6.11;114.000;;;;;;;;;;;
06/03/2022;6.05;114.500;;;;;;;;;;;
06/03/2022;6.00;115.000;;;;;;;;;;;
06/03/2022;5.94;115.500;;;;;;;;;;;
06/03/2022;5.88;116.000;;;;;;;;;;;
06/03/2022;5.86;116.500;;;;;;;;;;;
06/03/2022;5.82;116.500;;;;;;;;;;;
06/03/2022;5.79;117.500;;;;;;;;;;;
06/03/2022;5.77;118.000;;;;;;;;;;;
06/03/2022;5.76;118.500;;;;;;;;;;;
06/03/2022;5.74;119.000;;;;;;;;;;;
06/03/2022;5.75;119.500;;;;;;;;;;;
06/03/2022;5.75;120.000;;;;;;;;;;;
06/03/2022;5.77;120.500;;;;;;;;;;;
06/03/2022;5.76;121.000;;;;;;;;;;;
06/03/2022;5.80;121.500;;;;;;;;;;;
06/03/2022;5.82;122.000;;;;;;;;;;;
06/03/2022;5.84;122.500;;;;;;;;;;;
06/03/2022;5.89;123.000;;;;;;;;;;;
07/08/2022;6.12;114.000;;;;;;;;;;;
07/08/2022;6.05;114.500;;;;;;;;;;;
07/08/2022;6.01;115.000;;;;;;;;;;;
07/08/2022;5.96;115.500;;;;;;;;;;;
07/08/2022;5.91;116.000;;;;;;;;;;;
07/08/2022;5.84;116.500;;;;;;;;;;;
07/08/2022;5.79;117.000;;;;;;;;;;;
07/08/2022;5.76;117.500;;;;;;;;;;;
07/08/2022;5.74;118.000;;;;;;;;;;;
07/08/2022;5.72;118.500;;;;;;;;;;;
07/08/2022;5.72;119.000;;;;;;;;;;;
07/08/2022;5.72;119.500;;;;;;;;;;;
07/08/2022;5.74;120.000;;;;;;;;;;;
07/08/2022;5.77;120.500;;;;;;;;;;;
07/08/2022;5.79;121.000;;;;;;;;;;;
07/08/2022;5.82;121.500;;;;;;;;;;;
07/08/2022;5.85;122.000;;;;;;;;;;;
07/08/2022;5.88;122.500;;;;;;;;;;;
07/08/2022;5.89;123.000;;;;;;;;;;;
07/08/2022;5.91;123.500;;;;;;;;;;;
08/05/2022;6.12;114.000;;;;;;;;;;;
08/05/2022;6.07;114.500;;;;;;;;;;;
08/05/2022;5.99;115.000;;;;;;;;;;;
08/05/2022;5.96;115.500;;;;;;;;;;;
08/05/2022;5.90;116.000;;;;;;;;;;;
08/05/2022;5.85;116.500;;;;;;;;;;;
08/05/2022;5.83;117.000;;;;;;;;;;;
08/05/2022;5.79;117.500;;;;;;;;;;;
08/05/2022;5.80;118.000;;;;;;;;;;;
08/05/2022;5.81;118.500;;;;;;;;;;;
08/05/2022;5.83;119.000;;;;;;;;;;;
08/05/2022;5.84;119.500;;;;;;;;;;;
08/05/2022;5.81;120.000;;;;;;;;;;;
08/05/2022;5.82;120.500;;;;;;;;;;;
08/05/2022;5.80;121.000;;;;;;;;;;;
08/05/2022;5.82;121.500;;;;;;;;;;;
08/05/2022;5.83;122.000;;;;;;;;;;;
08/05/2022;5.84;122.500;;;;;;;;;;;
08/05/2022;5.86;123.000;;;;;;;;;;;
08/05/2022;5.89;123.500;;;;;;;;;;;
09/09/2022;6.09;114.000;;;;;;;;;;;
09/09/2022;6.03;114.500;;;;;;;;;;;
09/09/2022;5.97;115.000;;;;;;;;;;;
09/09/2022;5.91;115.500;;;;;;;;;;;
09/09/2022;5.87;116.000;;;;;;;;;;;
09/09/2022;5.84;116.500;;;;;;;;;;;
09/09/2022;5.81;117.000;;;;;;;;;;;
09/09/2022;5.79;117.500;;;;;;;;;;;
09/09/2022;5.80;118.000;;;;;;;;;;;
09/09/2022;5.79;118.500;;;;;;;;;;;
09/09/2022;5.80;119.000;;;;;;;;;;;
09/09/2022;5.81;119.500;;;;;;;;;;;
09/09/2022;5.83;120.000;;;;;;;;;;;
09/09/2022;5.83;120.500;;;;;;;;;;;
09/09/2022;5.84;121.000;;;;;;;;;;;
09/09/2022;5.86;121.500;;;;;;;;;;;
09/09/2022;5.86;122.000;;;;;;;;;;;
09/09/2022;5.87;122.500;;;;;;;;;;;
09/09/2022;5.89;123.000;;;;;;;;;;;
09/09/2022;5.90;123.500;;;;;;;;;;;
12/09/2022;6.16;114.000;;;;;;;;;;;
12/09/2022;6.12;114.500;;;;;;;;;;;
12/09/2022;6.08;115.000;;;;;;;;;;;
12/09/2022;6.04;115.500;;;;;;;;;;;
12/09/2022;6.00;116.000;;;;;;;;;;;
12/09/2022;5.98;116.500;;;;;;;;;;;
12/09/2022;5.95;117.000;;;;;;;;;;;
12/09/2022;5.90;117.500;;;;;;;;;;;
12/09/2022;5.89;118.000;;;;;;;;;;;
12/09/2022;5.85;118.500;;;;;;;;;;;
12/09/2022;5.84;119.000;;;;;;;;;;;
12/09/2022;5.83;119.500;;;;;;;;;;;
12/09/2022;5.83;120.000;;;;;;;;;;;
12/09/2022;5.83;120.500;;;;;;;;;;;
12/09/2022;5.83;121.000;;;;;;;;;;;
12/09/2022;5.84;121.500;;;;;;;;;;;
12/09/2022;5.85;122.000;;;;;;;;;;;
12/09/2022;5.87;122.500;;;;;;;;;;;
12/09/2022;5.90;123.000;;;;;;;;;;;
12/09/2022;5.90;123.500;;;;;;;;;;;
03/03/2023;6.17;114.500;;;;;;;;;;;
03/03/2023;6.15;115.000;;;;;;;;;;;
03/03/2023;6.10;115.500;;;;;;;;;;;
03/03/2023;6.09;116.000;;;;;;;;;;;
03/03/2023;6.04;116.500;;;;;;;;;;;
03/03/2023;6.02;117.000;;;;;;;;;;;
03/03/2023;6.00;117.500;;;;;;;;;;;
03/03/2023;5.99;118.000;;;;;;;;;;;
03/03/2023;5.96;118.500;;;;;;;;;;;
03/03/2023;5.95;119.000;;;;;;;;;;;
03/03/2023;5.95;119.500;;;;;;;;;;;
03/03/2023;5.93;120.000;;;;;;;;;;;
03/03/2023;5.93;120.500;;;;;;;;;;;
03/03/2023;5.94;121.000;;;;;;;;;;;
03/03/2023;5.95;121.500;;;;;;;;;;;
03/03/2023;5.94;122.000;;;;;;;;;;;
03/03/2023;5.97;122.500;;;;;;;;;;;
03/03/2023;5.98;123.000;;;;;;;;;;;
03/03/2023;5.99;123.500;;;;;;;;;;;
03/03/2023;6.03;124.000;;;;;;;;;;;
06/09/2023;6.20;115.000;;;;;;;;;;;
06/09/2023;6.17;115.500;;;;;;;;;;;
06/09/2023;6.15;116.000;;;;;;;;;;;
06/09/2023;6.13;116.500;;;;;;;;;;;
06/09/2023;6.11;117.000;;;;;;;;;;;
06/09/2023;6.09;117.500;;;;;;;;;;;
06/09/2023;6.07;118.000;;;;;;;;;;;
06/09/2023;6.07;118.500;;;;;;;;;;;
06/09/2023;6.05;119.000;;;;;;;;;;;
06/09/2023;6.05;119.500;;;;;;;;;;;
06/09/2023;6.04;120.000;;;;;;;;;;;
06/09/2023;6.05;120.500;;;;;;;;;;;
06/09/2023;6.05;121.000;;;;;;;;;;;
06/09/2023;6.04;121.500;;;;;;;;;;;
06/09/2023;6.05;122.000;;;;;;;;;;;
06/09/2023;6.07;122.500;;;;;;;;;;;
06/09/2023;6.06;123.000;;;;;;;;;;;
06/09/2023;6.08;123.500;;;;;;;;;;;
06/09/2023;6.10;124.000;;;;;;;;;;;
06/09/2023;6.11;124.500;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
