Date;Strike;Midpoint;IV
17/09/2021;15375.00;331.70;14.41
17/09/2021;15400.00;312.60;13.89
17/09/2021;15425.00;293.45;13.97
17/09/2021;15450.00;274.60;13.73
17/09/2021;15475.00;256.45;13.51
17/09/2021;15500.00;237.50;13.20
17/09/2021;15525.00;220.70;13.02
17/09/2021;15550.00;204.25;12.82
17/09/2021;15575.00;188.60;12.65
17/09/2021;15600.00;174.75;12.56
17/09/2021;15625.00;160.25;12.50
17/09/2021;15650.00;146.40;12.22
17/09/2021;15675.00;133.30;12.07
17/09/2021;15700.00;121.00;11.87
17/09/2021;15725.00;109.35;11.76
17/09/2021;15750.00;98.55;11.65
17/09/2021;15775.00;88.50;11.53
17/09/2021;15800.00;79.25;11.39
17/09/2021;15825.00;70.65;11.32
17/09/2021;15850.00;62.90;11.24
15/10/2021;15375.00;495.05;17.04
15/10/2021;15400.00;477.35;16.74
15/10/2021;15425.00;460.00;16.74
15/10/2021;15450.00;442.45;16.58
15/10/2021;15475.00;425.85;16.44
15/10/2021;15500.00;409.55;16.31
15/10/2021;15525.00;393.80;16.19
15/10/2021;15550.00;377.60;16.04
15/10/2021;15575.00;362.05;15.91
15/10/2021;15600.00;348.45;15.89
15/10/2021;15625.00;333.60;15.72
15/10/2021;15650.00;319.00;15.59
15/10/2021;15675.00;304.80;15.47
15/10/2021;15700.00;290.95;15.35
15/10/2021;15725.00;277.45;15.23
15/10/2021;15750.00;264.25;15.11
15/10/2021;15775.00;251.40;14.99
15/10/2021;15800.00;239.00;14.88
15/10/2021;15825.00;226.95;14.77
15/10/2021;15850.00;215.35;14.66
19/11/2021;15375.00;659.60;18.74
19/11/2021;15400.00;642.95;18.63
19/11/2021;15425.00;626.45;18.52
19/11/2021;15450.00;610.15;18.42
19/11/2021;15475.00;594.25;18.32
19/11/2021;15500.00;578.10;18.20
19/11/2021;15525.00;562.40;18.10
19/11/2021;15550.00;547.00;18.00
19/11/2021;15575.00;531.55;17.89
19/11/2021;15600.00;516.50;17.79
19/11/2021;15625.00;502.65;17.72
19/11/2021;15650.00;488.10;17.63
19/11/2021;15675.00;473.40;17.52
19/11/2021;15700.00;459.05;17.42
19/11/2021;15725.00;444.95;17.32
19/11/2021;15750.00;431.15;17.22
19/11/2021;15775.00;417.60;17.12
19/11/2021;15800.00;404.20;17.02
19/11/2021;15825.00;391.05;16.93
19/11/2021;15850.00;378.10;16.83
17/12/2021;15375.00;772.60;19.62
17/12/2021;15400.00;756.25;19.53
17/12/2021;15425.00;740.05;19.43
17/12/2021;15450.00;724.00;19.34
17/12/2021;15475.00;708.05;19.24
17/12/2021;15500.00;692.35;19.15
17/12/2021;15525.00;676.75;19.05
17/12/2021;15550.00;661.35;18.96
17/12/2021;15575.00;646.10;18.87
17/12/2021;15600.00;631.05;18.78
17/12/2021;15625.00;616.95;18.71
17/12/2021;15650.00;602.10;18.62
17/12/2021;15675.00;587.40;18.53
17/12/2021;15700.00;572.95;18.43
17/12/2021;15725.00;558.75;18.35
17/12/2021;15750.00;544.75;18.26
17/12/2021;15775.00;530.80;18.17
17/12/2021;15800.00;517.05;18.08
17/12/2021;15825.00;503.60;17.99
17/12/2021;15850.00;490.30;17.91
21/01/2022;15375.00;890.35;20.22
21/01/2022;15400.00;874.60;20.15
21/01/2022;15425.00;858.40;20.06
21/01/2022;15450.00;842.85;19.98
21/01/2022;15475.00;827.20;19.90
21/01/2022;15500.00;811.65;19.82
21/01/2022;15525.00;796.25;19.74
21/01/2022;15550.00;780.95;19.65
21/01/2022;15575.00;765.55;19.57
21/01/2022;15600.00;750.55;19.49
21/01/2022;15625.00;735.95;19.41
21/01/2022;15650.00;721.20;19.33
21/01/2022;15675.00;706.50;19.25
21/01/2022;15700.00;692.10;19.17
21/01/2022;15725.00;677.90;19.09
21/01/2022;15750.00;663.70;19.01
21/01/2022;15775.00;649.75;18.93
21/01/2022;15800.00;635.85;18.85
21/01/2022;15825.00;622.15;18.78
21/01/2022;15850.00;608.60;18.70
18/02/2022;15375.00;980.00;20.70
18/02/2022;15400.00;964.25;20.63
18/02/2022;15425.00;948.80;20.56
18/02/2022;15450.00;933.20;20.48
18/02/2022;15475.00;917.45;20.40
18/02/2022;15500.00;902.10;20.33
18/02/2022;15525.00;887.00;20.26
18/02/2022;15550.00;871.85;20.18
18/02/2022;15575.00;856.90;20.11
18/02/2022;15600.00;841.95;20.04
18/02/2022;15625.00;827.25;19.96
18/02/2022;15650.00;812.60;19.89
18/02/2022;15675.00;798.10;19.82
18/02/2022;15700.00;783.70;19.75
18/02/2022;15725.00;769.80;19.68
18/02/2022;15750.00;755.70;19.61
18/02/2022;15775.00;741.70;19.54
18/02/2022;15800.00;727.80;19.47
18/02/2022;15825.00;714.15;19.40
18/02/2022;15850.00;700.50;19.33
18/03/2022;15375.00;1062.55;21.08
18/03/2022;15400.00;1046.95;21.01
18/03/2022;15425.00;1031.40;20.94
18/03/2022;15450.00;1015.70;20.87
18/03/2022;15475.00;1000.25;20.79
18/03/2022;15500.00;985.15;20.73
18/03/2022;15525.00;970.10;20.66
18/03/2022;15550.00;955.10;20.59
18/03/2022;15575.00;940.20;20.52
18/03/2022;15600.00;925.30;20.45
18/03/2022;15625.00;910.65;20.39
18/03/2022;15650.00;896.10;20.32
18/03/2022;15675.00;881.75;20.25
18/03/2022;15700.00;867.45;20.19
18/03/2022;15725.00;853.25;20.12
18/03/2022;15750.00;841.85;20.11
18/03/2022;15775.00;828.05;20.05
18/03/2022;15800.00;814.45;19.99
18/03/2022;15825.00;800.50;19.92
18/03/2022;15850.00;787.15;19.86
14/04/2022;15375.00;1138.20;21.41
14/04/2022;15400.00;1122.75;21.34
14/04/2022;15425.00;1107.35;21.28
14/04/2022;15450.00;1092.10;21.21
14/04/2022;15475.00;1076.95;21.15
14/04/2022;15500.00;1061.90;21.09
14/04/2022;15525.00;1046.90;21.02
14/04/2022;15550.00;1032.00;20.96
14/04/2022;15575.00;1017.25;20.89
14/04/2022;15600.00;1002.60;20.83
14/04/2022;15625.00;988.05;20.77
14/04/2022;15650.00;973.60;20.71
14/04/2022;15675.00;959.25;20.64
14/04/2022;15700.00;944.95;20.58
14/04/2022;15725.00;930.85;20.52
14/04/2022;15750.00;916.80;20.46
14/04/2022;15775.00;902.85;20.40
14/04/2022;15800.00;889.05;20.34
14/04/2022;15825.00;875.30;20.27
14/04/2022;15850.00;861.70;20.21
20/05/2022;15375.00;1226.75;21.66
20/05/2022;15400.00;1211.50;21.60
20/05/2022;15425.00;1196.35;21.54
20/05/2022;15450.00;1181.40;21.48
20/05/2022;15475.00;1166.40;21.43
20/05/2022;15500.00;1151.55;21.37
20/05/2022;15525.00;1136.75;21.31
20/05/2022;15550.00;1122.10;21.25
20/05/2022;15575.00;1107.50;21.20
20/05/2022;15600.00;1093.00;21.14
20/05/2022;15625.00;1078.65;21.08
20/05/2022;15650.00;1064.30;21.03
20/05/2022;15675.00;1050.10;20.97
20/05/2022;15700.00;1036.00;20.91
20/05/2022;15725.00;1022.00;20.86
20/05/2022;15750.00;1008.05;20.80
20/05/2022;15775.00;994.25;20.75
20/05/2022;15800.00;980.50;20.69
20/05/2022;15825.00;966.90;20.63
20/05/2022;15850.00;953.40;20.58
17/06/2022;15375.00;1293.40;21.86
17/06/2022;15400.00;1278.90;21.81
17/06/2022;15425.00;1263.70;21.76
17/06/2022;15450.00;1248.95;21.70
17/06/2022;15475.00;1233.50;21.64
17/06/2022;15500.00;1218.65;21.58
17/06/2022;15525.00;1204.05;21.53
17/06/2022;15550.00;1190.10;21.49
17/06/2022;15575.00;1175.45;21.43
17/06/2022;15600.00;1160.45;21.36
17/06/2022;15625.00;1146.65;21.32
17/06/2022;15650.00;1130.40;21.23
17/06/2022;15675.00;1117.60;21.20
17/06/2022;15700.00;1104.20;21.14
17/06/2022;15725.00;1089.55;21.09
17/06/2022;15750.00;1073.65;21.00
17/06/2022;15775.00;1061.45;20.98
17/06/2022;15800.00;1048.45;21.04
17/06/2022;15825.00;1034.90;20.89
17/06/2022;15850.00;1021.75;20.84
16/09/2022;15375.00;1479.45;22.17
16/09/2022;15400.00;1464.35;22.12
16/09/2022;15425.00;1450.25;22.08
16/09/2022;15450.00;1435.15;22.02
16/09/2022;15475.00;1420.20;21.97
16/09/2022;15500.00;1406.90;21.94
16/09/2022;15525.00;1391.80;21.89
16/09/2022;15550.00;1377.75;21.84
16/09/2022;15575.00;1363.60;21.80
16/09/2022;15600.00;1349.50;21.75
16/09/2022;15625.00;1335.40;21.71
16/09/2022;15650.00;1321.30;21.66
16/09/2022;15675.00;1307.25;21.61
16/09/2022;15700.00;1293.10;21.56
16/09/2022;15725.00;1280.05;21.53
16/09/2022;15750.00;1265.90;21.48
16/09/2022;15775.00;1252.85;21.44
16/09/2022;15800.00;1238.70;21.38
16/09/2022;15825.00;1225.55;21.35
16/09/2022;15850.00;1212.15;21.30